,OEM,MODEL,BODY_TYPE,PRICE_IN_LAKHS,YEAR,MONTH,SALE,SALE_OUT_OF
0,Datsun,Go,Hatchback,4.03,2020,1,88.0,1163.0
1,Datsun,Go Plus,MUV,4.26,2020,1,55.0,1163.0
2,Datsun,RediGo,Hatchback,3.98,2020,1,1020.0,1163.0
3,Honda,Amaze,Sedan,6.39,2020,1,3160.0,5239.0
4,Honda,City,Sedan,11.23,2020,1,1734.0,5239.0
5,Honda,Civic,Sedan,17.95,2020,1,146.0,5239.0
6,Honda,CRV,MUV,20.0,2020,1,37.0,5239.0
7,Honda,Jazz,Hatchback,7.72,2020,1,46.0,5239.0
8,Honda,WRV,SUV,8.83,2020,1,116.0,5239.0
9,Hyundai,Creta,SUV,10.22,2020,1,6900.0,42002.0
10,Hyundai,Elantra,Sedan,17.86,2020,1,63.0,42002.0
11,Hyundai,Elite i20,Hatchback,5.57,2020,1,8137.0,42002.0
12,Hyundai,Grand i10,Hatchback,5.0,2020,1,8774.0,42002.0
13,Hyundai,Kona,Electric,23.0,2020,1,39.0,42002.0
14,Hyundai,Santro,Hatchback,3.13,2020,1,3671.0,42002.0
15,Hyundai,Tucson,SUV,23.0,2020,1,37.0,42002.0
16,Hyundai,Venue,SUV,7.0,2020,1,6733.0,42002.0
17,Hyundai,Verna,Sedan,8.0,2020,1,957.0,42002.0
18,Hyundai,"Xcent, Aura",Sedan,6.0,2020,1,6691.0,42002.0
19,Jeep,Compass,SUV,17.79,2020,1,701.0,701.0
20,Jeep,Wrangler,SUV,56.33,2020,1,,701.0
21,Kia,Carnival,Van,25.48,2020,1,450.0,15450.0
22,Kia,Seltos,SUV,9.95,2020,1,15000.0,15450.0
23,Mahindra,Alturas G4,SUV,28.85,2020,1,68.0,19407.0
24,Mahindra,Bolero,SUV,8.99,2020,1,7233.0,19407.0
25,Mahindra,KUV100,SUV,6.19,2020,1,59.0,19407.0
26,Mahindra,Marazzo,SUV,12.79,2020,1,1267.0,19407.0
27,Mahindra,Scorpio,SUV,13.18,2020,1,5316.0,19407.0
28,Mahindra,Thar,SUV,13.17,2020,1,,19407.0
29,Mahindra,TUV300,SUV,15.0,2020,1,649.0,19407.0
30,Mahindra,"Verito, Vibe",Sedan,10.0,2020,1,,19407.0
31,Mahindra,XUV300,SUV,8.16,2020,1,3360.0,19407.0
32,Mahindra,XUV500,SUV,13.0,2020,1,1455.0,19407.0
33,Maruti Suzuki,Alto,Hatchback,3.25,2020,1,18914.0,139843.0
34,Maruti Suzuki,Baleno,Hatchback,6.03,2020,1,20485.0,139843.0
35,Maruti Suzuki,Celerio,Hatchback,5.14,2020,1,6236.0,139843.0
36,Maruti Suzuki,Ciaz,Sedan,8.67,2020,1,835.0,139843.0
37,Maruti Suzuki,Dzire,Sedan,6.09,2020,1,22406.0,139843.0
38,Maruti Suzuki,Eeco,Van,4.53,2020,1,12324.0,139843.0
39,Maruti Suzuki,Ertiga,MUV,8.11,2020,1,4997.0,139843.0
40,Maruti Suzuki,Gypsy,SUV,6.5,2020,1,,139843.0
41,Maruti Suzuki,Ignis,Hatchback,5.08,2020,1,,139843.0
42,Maruti Suzuki,S-Cross,SUV,8.6,2020,1,558.0,139843.0
43,Maruti Suzuki,S-Presso,SUV,3.85,2020,1,6971.0,139843.0
44,Maruti Suzuki,Swift,Hatchback,5.9,2020,1,19981.0,139843.0
45,Maruti Suzuki,Vitara Brezza,SUV,7.68,2020,1,10134.0,139843.0
46,Maruti Suzuki,WagonR,Hatchback,5.16,2020,1,15232.0,139843.0
47,Maruti Suzuki,XL6,MUV,10.01,2020,1,770.0,139843.0
48,MG,Hector,SUV,13.95,2020,1,3130.0,3130.0
49,MG,ZS EV,SUV,21.49,2020,1,,3130.0
50,Nissan,Kicks,SUV,9.5,2020,1,172.0,172.0
51,Renault,Captur,SUV,9.5,2020,1,,7805.0
52,Renault,Duster,SUV,9.85,2020,1,405.0,7805.0
53,Renault,Kwid,Hatchback,4.24,2020,1,3281.0,7805.0
54,Renault,Triber,MUV,5.67,2020,1,4119.0,7805.0
55,Skoda,Kodiaq,SUV,34.99,2020,1,189.0,1347.0
56,Skoda,Octavia,Sedan,26.29,2020,1,207.0,1347.0
57,Skoda,Rapid,Sedan,11.99,2020,1,815.0,1347.0
58,Skoda,Superb,Sedan,32.85,2020,1,136.0,1347.0
59,Tata,Altroz,Hatchback,5.99,2020,1,4505.0,13856.0
60,Tata,Harrier,SUV,14.49,2020,1,719.0,13856.0
61,Tata,Hexa,MUV,13.69,2020,1,46.0,13856.0
62,Tata,Nexon,SUV,7.39,2020,1,3382.0,13856.0
63,Tata,Tiago,Hatchback,5.19,2020,1,4313.0,13856.0
64,Tata,Tigor,Hatchback,5.79,2020,1,891.0,13856.0
65,Toyota,Camry,Sedan,41.7,2020,1,85.0,5804.0
66,Toyota,Fortuner,MUV,31.38,2020,1,228.0,5804.0
67,Toyota,Glanza,Hatchback,7.69,2020,1,2191.0,5804.0
68,Toyota,Innova,MUV,17.3,2020,1,2575.0,5804.0
69,Toyota,Vellfire,Van,89.85,2020,1,,5804.0
70,Toyota,Yaris,Sedan,9.29,2020,1,725.0,5804.0
71,Volkswagen,Polo,Hatchback,6.49,2020,1,632.0,968.0
72,Volkswagen,Tiguan,SUV,11.0,2020,1,86.0,968.0
73,Volkswagen,T-Roc,SUV,21.35,2020,1,,968.0
74,Volkswagen,Vento,Sedan,10.0,2020,1,250.0,968.0
75,Datsun,Go,Hatchback,4.03,2020,2,98.0,671.0
76,Datsun,Go Plus,MUV,4.26,2020,2,60.0,671.0
77,Datsun,RediGo,Hatchback,3.98,2020,2,513.0,671.0
78,Honda,Amaze,Sedan,6.39,2020,2,5814.0,7269.0
79,Honda,City,Sedan,11.23,2020,2,1256.0,7269.0
80,Honda,Civic,Sedan,17.95,2020,2,174.0,7269.0
81,Honda,CRV,MUV,20.0,2020,2,25.0,7269.0
82,Honda,Jazz,Hatchback,7.72,2020,2,,7269.0
83,Honda,WRV,SUV,8.83,2020,2,,7269.0
84,Hyundai,Creta,SUV,10.22,2020,2,700.0,40010.0
85,Hyundai,Elantra,Sedan,17.86,2020,2,46.0,40010.0
86,Hyundai,Elite i20,Hatchback,5.57,2020,2,8766.0,40010.0
87,Hyundai,Grand i10,Hatchback,5.0,2020,2,10407.0,40010.0
88,Hyundai,Kona,Electric,23.0,2020,2,32.0,40010.0
89,Hyundai,Santro,Hatchback,3.13,2020,2,4200.0,40010.0
90,Hyundai,Tucson,SUV,23.0,2020,2,,40010.0
91,Hyundai,Venue,SUV,7.0,2020,2,10321.0,40010.0
92,Hyundai,Verna,Sedan,8.0,2020,2,570.0,40010.0
93,Hyundai,"Xcent, Aura",Sedan,6.0,2020,2,4968.0,40010.0
94,Jeep,Compass,SUV,17.79,2020,2,666.0,666.0
95,Jeep,Wrangler,SUV,56.33,2020,2,,666.0
96,Kia,Carnival,Van,25.48,2020,2,1620.0,15644.0
97,Kia,Seltos,SUV,9.95,2020,2,14024.0,15644.0
98,Mahindra,Alturas G4,SUV,28.85,2020,2,38.0,10673.0
99,Mahindra,Bolero,SUV,8.99,2020,2,4067.0,10673.0
100,Mahindra,KUV100,SUV,6.19,2020,2,108.0,10673.0
101,Mahindra,Marazzo,SUV,12.79,2020,2,1236.0,10673.0
102,Mahindra,Scorpio,SUV,13.18,2020,2,1505.0,10673.0
103,Mahindra,Thar,SUV,13.17,2020,2,,10673.0
104,Mahindra,TUV300,SUV,15.0,2020,2,944.0,10673.0
105,Mahindra,"Verito, Vibe",Sedan,10.0,2020,2,,10673.0
106,Mahindra,XUV300,SUV,8.16,2020,2,2431.0,10673.0
107,Mahindra,XUV500,SUV,13.0,2020,2,344.0,10673.0
108,Maruti Suzuki,Alto,Hatchback,3.25,2020,2,17921.0,133632.0
109,Maruti Suzuki,Baleno,Hatchback,6.03,2020,2,16585.0,133632.0
110,Maruti Suzuki,Celerio,Hatchback,5.14,2020,2,6104.0,133632.0
111,Maruti Suzuki,Ciaz,Sedan,8.67,2020,2,2544.0,133632.0
112,Maruti Suzuki,Dzire,Sedan,6.09,2020,2,7296.0,133632.0
113,Maruti Suzuki,Eeco,Van,4.53,2020,2,11227.0,133632.0
114,Maruti Suzuki,Ertiga,MUV,8.11,2020,2,11782.0,133632.0
115,Maruti Suzuki,Gypsy,SUV,6.5,2020,2,,133632.0
116,Maruti Suzuki,Ignis,Hatchback,5.08,2020,2,2912.0,133632.0
117,Maruti Suzuki,S-Cross,SUV,8.6,2020,2,,133632.0
118,Maruti Suzuki,S-Presso,SUV,3.85,2020,2,9578.0,133632.0
119,Maruti Suzuki,Swift,Hatchback,5.9,2020,2,18696.0,133632.0
120,Maruti Suzuki,Vitara Brezza,SUV,7.68,2020,2,6866.0,133632.0
121,Maruti Suzuki,WagonR,Hatchback,5.16,2020,2,18235.0,133632.0
122,Maruti Suzuki,XL6,MUV,10.01,2020,2,3886.0,133632.0
123,MG,Hector,SUV,13.95,2020,2,1218.0,1376.0
124,MG,ZS EV,SUV,21.49,2020,2,158.0,1376.0
125,Nissan,Kicks,SUV,9.5,2020,2,267.0,267.0
126,Renault,Captur,SUV,9.5,2020,2,,8784.0
127,Renault,Duster,SUV,9.85,2020,2,642.0,8784.0
128,Renault,Kwid,Hatchback,4.24,2020,2,4187.0,8784.0
129,Renault,Triber,MUV,5.67,2020,2,3955.0,8784.0
